ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (oz)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Meta: _yoast_wpseo_primary_product_cat","Meta: site-sidebar-layout","Meta: site-content-layout","Meta: theme-transparent-header-meta","Meta: _yoast_wpseo_focuskw","Meta: _yoast_wpseo_linkdex","Meta: _yoast_wpseo_content_score","Meta: _yoast_wpseo_metadesc","Meta: fb_product_group_id","Meta: fb_visibility"
221,simple,,"Lavender Conditioning Pomade",1,0,visible,"<ul>
\n<a href=""https://hairbeyondbold.com/about-us/"">More About Beyond Bold</a>",,,taxable,,1,,,0,0,4,,,,1,,,7.95,"Natural Hair Care Products, Oil Applicator",,,"https://hairbeyondbold.com/wp-content/uploads/2019/10/1886x1886.png.png, https://hairbeyondbold.com/wp-content/uploads/2019/10/544x340.jpeg.jpg",,,,,,,,,0,24,default,default,default,"Oil Applicator",62,90,"Moisturize your hair and scalp with Beyond Bold’s Oil Applicator. It keeps your hair silky and full of shine with its natural oil mixture.",2837168253013870,1
255,simple,,"Herbal Infused Hair Growth Oil",1,0,visible,"<ul>
\n 	<li>PH balance</li>
\n 	<li>Blood circulation to the scalp</li>
\n 	<li>Strengthen your scalp and hair</li>
\n 	<li>Regrowth</li>
\n 	<li>Cleanser</li>
\n 	<li>Protection</li>
\n 	<li>Conditioner</li>
\n</ul>
\n<span style=""color: white;"">***Results May Very***</span>","Hair needs nutrients to grow.  Vitamin C, biotin, niacin, iron and zinc just names a few nutrients your hair needs. Beyond Bold’s, Herbal Infused Hair Growth Oil is an all-natural oil mixture.
\n
\nEveryone wants soft, manageable, and healthy hair. Get it the natural way!
\n
\nHow to Use
\n
\nApply the oil directly to the scalp area that is thinning out or can be placed directly on the hair. Herbal Infused Hair Growth Oil can be used once or twice a day. Use sparingly. A little goes a long way. ***Shake Well Before Using
\n
\n<a href=""https://hairbeyondbold.com/about-us/"">More About Beyond Bold</a>",,,taxable,,1,,,0,0,4,,,,1,,,14.95,"Hair Growth Oil, HGO banner, Natural Hair Care Products",,,"https://hairbeyondbold.com/wp-content/uploads/2019/10/1886x1886.png.c983043d80764834ab248490be07ed9e.png, https://hairbeyondbold.com/wp-content/uploads/2019/10/2501x2096.jpeg.jpg",,,,,,,,,0,24,default,default,default,"Herbal Infused Hair Growth Oil",50,90,"Grow healthy hair with Beyond Bold’s Herbal Infused Hair Growth Oil. Herbal Infused Hair Growth Oil is an all-natural oil mixture!",3032063030159585,1
2088,simple,,"Beyond Bold Velvet Plush Black and Gold Drawstring Bags",1,0,visible,"Black and gold drawstring velvet pouch.","Beyond Bold Velvet-Plush Black and Gold Drawstring Bags
\n
\n*Great for your children's jewelry, headphones, etc.
\n*Awesome pouch for your lipstick.
\n*Great for traveling.",,,taxable,,1,,,0,0,,,,,1,,.75,1.00,"Free Shipping",,,https://hairbeyondbold.com/wp-content/uploads/2020/08/20191208_101102_HDR-scaled.jpg,,,,,,,,,0,31,default,default,default,"Drawstring Bags",41,90,"Beyond Bold Velvet-Plush Black and Gold Drawstring Bags *Great for your children's jewelry, headphones, and more!",,
2090,simple,,"Hair Brush/Comb Anti-Static Detangler",1,0,visible,"***Goodbye to consistent hair breakage and split ends!","Hair Brush/Comb Anti-Static Detangler
\n-Massages scalp and detangles matted hair
\n-Travel size
\n-Great for kids!",,,taxable,,1,,,0,0,,,,,1,,5.99,7.99,"Free Shipping",,,https://hairbeyondbold.com/wp-content/uploads/2020/08/one.png,,,,,,,,,0,31,default,default,default,Detangler,44,60,"Hair brush and hair comb Anti-Static Detangler. Create blood circulation while massaging your scalp and detangling your matted hair.",,
